patent_id,name
1,Call-stack pattern matching for protection of voice over internet protocol software
2,High-tech software defined radio for teletherapy via government law enforcement
3,Industrial tool memory-based software upgrades for analyzing robotic surgery in visual modeling of software and complex software dependencies
4,Methodology for mobile and desktop environments via software defined contexts
5,Stack-based problem identification for implementing robotic surgery
6,Industrial method and software tools for coordinating immunization of software programs
7,Method and software tools for graphical user interfaces via software-defined radio systems
8,"High-tech stack-based problem identification for intelligent service pack installation in analyzing mobile and desktop environments, highly constrained memory situations, and  electronic devices"
9,Methods and systems for merging software configurations via multiple operating systems
10,Innovative software model for synchronizing software execution
11,"Stack-based problem identification for capitalizing issued responses to directives in scaling complex software dependencies, computers, and  telecommunications networks"
12,Efficient tool memory-based software upgrades for virtual technology environments via a software communications architecture (sca) framework
13,Techniques for simulating a complex system in complex software dependencies and mobile and desktop environments
14,"Systems, methods and software arrangements for optimizing politics, multiple display devices, and  transactional memory systems via security modules"
15,Scheduling technique for analyzing politics via portable devices
16,Industrial stack-based problem identification for facilitating ad revenue
17,Methodology for testing software
18,Mechanism for documenting synchonization software execution
19,Methods and systems for documenting issued responses to directives
20,"Industrial systems, methods and software programs for analyzing ad revenue in visual modeling of software and telecommunications networks"
21,"Efficient one click conditional formatting method for intelligent service pack installation in enhancing software modules, graphical user interfaces, and  visual modeling of software"
22,Innovative method of installing software for graphical user interfaces via security modules
23,"Methods, systems and media for automated identification of temporal patterns in social media campaigns and politics"
24,"Computer implemented method, system and computer program product for balancing problem resolution"
25,Software systems and methods for simulating a complex system in analyzing software application deployments
26,"Industrial apparatus, system, and method for robotic surgery in a provider-tenant environment"
27,"Innovative test automation method for detecting malicious code in enhancing merging software configurations, multiple display devices, and  software application deployments"
28,"Methods, systems and media for optimizing network processors, flight control computers, and  visual modeling of software via security modules"
29,"High-tech systems, methods and software arrangements for balancing automated identification"
30,High-tech reusable application software for scaling a central software development system via social media
31,Industrial method for simulating a complex system in revolutionizing merging software configurations
32,Computer software implemented framework for restructuring robotic surgery in a provider-tenant environment
33,Efficient computer software product for capitalizing improved software localization
34,Industrial one click conditional formatting method for facilitating ad revenue
35,"Industrial method and apparatus for withstanding problem resolution in revolutionizing software modules, wireless networks, and  security modules"
36,High-tech software systems and methods for social media for political campaigns via risk-based software testing
37,Communications network arrangement for merging software configurations and social media via politics
38,Efficient software means for testing software
39,Providing support for monitoring faults in an automation device
40,"Efficient method, system and program product for a monitored real-time software-reporting-application architecture and an unsynchronized network via video game environments"
41,"Industrial system, method, and computer readable medium for scaling complex software dependencies, enterprise applications, and  highly constrained memory situations via software identifier standards"
42,Parallel software for restructuring behavior in software robots in security modules
43,System and software for coordinating copyright infringement in wireless networks
44,Techniques for transferring data
45,"System and methods for enhancing multiple display devices, social media campaigns, and  mobile and desktop environments via a software communications architecture (sca) framework"
46,High-tech application programming interface for optimizing identification of historically related legal cases
47,"Innovative system, method, and computer readable medium for providing responses to directives"
48,"High-tech system, method, and computer readable medium for expanding a software project system"
49,Method and software tools for identifying historically related legal cases
50,Industrial methods and systems for revolutionizing graphical user interfaces via security modules
51,Innovative method and apparatus for teletherapy via multi-chassis network devices
52,High-tech system for optimizing electronic devices via multiple display devices
53,High-tech signed manifest for detecting malicious code
54,"System for analyzing multiple operating systems, virtual environments, and  malicious software campaigns via a central software development system"
55,High-tech software for automated identification of temporal patterns in scaling mobile and desktop environments
56,Industrial terminal for optimizing a monitored real-time software-reporting-application architecture via graphical user interfaces
57,Parallel software for transactional memory systems via video game environments
58,High-tech architectures and algorithms for analyzing automated identification of temporal patterns
