index,patent_id,name
1,7987516,Software application access method and system
2,7987459,"Application programming interface for identifying, downloading and installing applicable software updates"
3,7987450,Stack-based problem identification for a software component
4,7987449,Network for lifecycle management of firmware and software in electronic devices
5,7987390,Techniques for automatically tracking software errors
6,7987341,Computing machine using software objects for transferring data that includes no destination information
7,7987226,Internet small computer systems interface (iSCSI) software target boot and dump routing driver
8,7987146,System and method for matching multi-node software system provisioning requirements and capabilities using rough set theory
9,7987130,Methods and computer software applications for selecting securities for an investment portfolio
10,7987087,Method and system for improved software localization
11,7987086,Software entity for the creation of a hybrid cycle simulation model
12,7987083,"Method for simulating a complex system with construction of at least one model including at least one modelled router, corresponding computer software package and storage means"
13,7987065,Automatic quality testing of multimedia rendering by software drivers
14,7986312,Method of interacting with software using handwritten signatures
15,7986311,Method of interacting with software using handwritten strokes
16,7984516,Method and apparatus for protection of voice over internet protocol software
17,7984515,Software license enforcement by runtime feature enablement
18,7984476,Reusable application software for generating interactive television applications
19,7984457,Software methods of an optical network apparatus with multiple multi-protocol optical networking modules having packet filtering resources
20,7984437,System and method for software application scoping
21,7984436,Management of compatibility of software products installed on a user's computing device
22,7984435,Update system employing reference software to reduce number of update packages
23,7984429,Tools and techniques for instrumenting interfaces of units of a software program
24,7984427,System and methods for synchronizing software execution across data processing systems and platforms
25,7984334,Call-stack pattern matching for problem resolution within software
26,7984162,"Methods, systems, and software for providing service integration framework"
27,7984143,Computer network software and hardware event monitoring and reporting system and method
28,7984111,Software applications incorporating functionalities based on data-type and access
29,7984053,"System, method, and software for identifying historically related legal cases"
30,7984013,Method and apparatus for learning behavior in software robot
31,7983988,Progressive licensing of component-based MES software
32,7983882,Joint wrinkle and muscle movement simulating software
33,7983793,Tool memory-based software upgrades for robotic surgery
34,7983732,"Method, system, and computer software product for automated identification of temporal patterns with high initial enhancement in dynamic magnetic resonance breast imaging"
35,7983711,Software architecture for dual mode phone and method of use
36,7982722,System for interaction with computer software using handwritten signatures
37,7979898,System and method for monitoring and controlling software usage in a computer
38,7979856,Network-based software extensions
39,7979854,Method and system for upgrading software or firmware by using drag and drop mechanism
40,7979844,TICC-paradigm to build formally verified parallel software for multi-core chips
41,7979789,System and method of replacing a delegate component associated with a delegate modular software component at software execution time
42,7979407,Publication of informational messages to software applications in a computing environment
43,7979390,"Software, systems, and methodologies for realignment of remote databases by a central database in support field representative territory assignments"
